"norm_cidade","LOCAL_VOTACAO","Escola",match
"ANDORINHA","ESCOLA MUNICIPAL DE SALGADO","ESCOLA MUNICIPAL FAZENDA SALGADO",1
"ANDORINHA","ESCOLA MUNICIPAL DE PIMENTEL","ESCOLA MUNICIPAL FAZENDA PIMENTEL",1
"SENHOR DO BONFIM","ESCOLA MUNICIPAL DE UMBURANA","ESCOLA MUNICIPAL DO SITIO DA UMBURANA",1
"SENHOR DO BONFIM","ESCOLA FRANCESCO GALLI","CRECHE ESCOLA FRANCESCO GALLI",1
"JUAZEIRO","ESCOLA MUNICIPAL AMERICO TANURI","ESCOLA MUNICIPAL AMERICO TANURI - JUNCO",1
"JUAZEIRO","ESCOLA MUNICIPAL CENTRO EDUCACIONAL ARGEMIRO JOSE","ESCOLA MUNICIPAL ARGEMIRO JOSE DA CRUZ",1
"JUAZEIRO","ESCOLA MUNICIPAL NOVA ABOBORA","ESCOLA MUNICIPAL DE EDUCACAO INFANTIL DE ABOBORA",1
"RIO REAL","ESCOLA MUNICIPAL SILVIA FONTES","ESCOLA MUNICIPAL SILVIA FONTES FARIA",1
"SITIO DO QUINTO","ESCOLA MUNICIPAL TINGUI","ESCOLA MUNICIPAL DO TINGUI",1
"ADUSTINA","COLEGIO MARIA DA ANUNCIACAO","ESCOLA MUNICIPAL PROFESSORA MARIA DA ANUNCIACAO ROCHA",1
"ANTONIO GONCALVES","ESCOLA MUNICIPAL ROMULO GALVAO","ESCOLA MUNCIPAL ROMULO GALVAO",1
"MORRO DO CHAPEU","ESCOLA MUNICIPAL IDALICE BELITARDO","ESCOLA MUNICIPALIZADA IDALICE BELITARDO GRASSI",1
"MORRO DO CHAPEU","ESCOLA AUGUSTO ROCHA","ESCOLA MUNICIPALIZADA 1 GRAU AUGUSTO ROCHA",1
"MORRO DO CHAPEU","ESCOLA MUNICIPAL EDILA COSTA","ESCOLA MUNICIPAL EDILA COSTA RIBEIRO",1
"CONDEUBA","GRUPO ESCOLAR PAULO VI","ESCOLA MUNICIPAL PAPA PAULO VI",1
"CORDEIROS","CENTRO EDUCACIONAL PRESIDENTE JOSE SARNEY","CENTRO EDUCACIONAL MUN PRES JOSE SARNEY",1
"IPIRA","ESCOLA MUNICIPAL CRISPIM BRANDAO","ESCOLA MUNICIPAL CRISPIM AZEVEDO BRANDAO",1
"MACAUBAS","PREDIO ESCOLAR JOSE BORGES","ESCOLA MUNICIPAL SITIO JOSE BORGES",1
"MACAUBAS","ESCOLA MUNICIPAL PADRE DURVAL SOARES","ESCOLA MUL PADRE DURVAL SOARES DE SALES",1
"CASA NOVA","GRUPO ESCOLAR CONS. LUIZ VIANA","ESCOLA MUNICIPAL DE LUIZ VIANA",1
"CAMPO ALEGRE DE LOURDES","GRUPO ESCOLAR MANOEL HONORIO","ESCOLA MUNICIPAL MANOEL HONORIO SOARES",1
"XIQUE-XIQUE","PREDIO ESCOLAR LUIZ VIANA","ESCOLA MUNICIPAL MINISTRO LUIZ VIANA FILHO",1
"BONITO","CENTRO EDUCACIONAL TREZE DE JUNHO","ESCOLA MUNICIPAL 13 DE JUNHO",1
"BARREIRAS","GRUPO ESCOLAR LUIZ VIANA","CENTRO EDUCACIONAL LUIZ VIANA FILHO",1
"SERRA DO RAMALHO","ESCOLA MUNICIPAL ARTHUR SENA","ESCOLA MUNICIPAL AIRTON SENNA",1
"SANTA MARIA DA VITORIA","ESCOLA MUNICIPAL CELSO BARBOSA","ESCOLA CELSO JOSE BARBOSA",1
