"norm_cidade","LOCAL_VOTACAO","Escola",match
"FERNANDO FALCAO","UNIDADE ESCOLAR PRIMAVERA","ESCOLA MUNICIPAL DE EDUCACAO BASICA PRIMAVERA",1
"CENTRO NOVO DO MARANHAO","CENTRO EDUCACIONAL ANTONIO DA CRUZ","CENTRO EDUCACIONAL ANTONIO DA CRUZ PEREIRA",1
"GOVERNADOR NUNES FREIRE","ESCOLA DE ENSINO FUNDAMENTAL - PORTAO","ESCOLA DE ENSINO FUNDAMENTAL DO PORTAO",1
"PAULO RAMOS","UNIDADE ESCOLAR SAO JERONIMO","UNIDADE ESCOLA SAO JERONIMO",1
"MONTES ALTOS","ESCOLA MUNICIPAL SANTA IZABEL","UE STA ISABEL",1
"ARAME","ESCOLA MUNICIPAL SANTA LUZIA","EM STA LUZIA",1
"ARAME","ESCOLA PUBLICA BARBOSA","UNID ESC PUBLICA BARBOSA",1
"PEDRO DO ROSARIO","ESCOLA MUNICIPAL SAO MATEUS","UI SAO MATEUS",1
"GONCALVES DIAS","UNIDADE ESCOLAR VEREADOR LEONARDO F. LIMA","UE VEREADOR LEONARDO FERREIRA LIMA",1
"GONCALVES DIAS","UNIDADE ESCOLAR JOSE C. LIMA","UI JOSE CORREA LIMA",1
"GOVERNADOR EUGENIO BARROS","UNIDADE ESCOLAR PRESIDENTE SARNEY","UI PRES SARNEY",1
"GOVERNADOR EUGENIO BARROS","UNIDADE ESCOLAR SANTA ISABEL","UE STA ISABEL",1
"GOVERNADOR EUGENIO BARROS","UNIDADE ESCOLAR COSTA E SILVA","EM PRES COSTA E SILVA",1
"ALFENAS","ESCOLA ESTADUAL PROFESSOR VIANA - 1º GRAU","EE PROFESSOR VIANA",1
"ALMENARA","ESCOLA MUNICIPAL JESUS DE OLIVEIRA","EM MANOEL JESUS DE OLIVEIRA",1
"RUBIM","ESCOLA ESTADUAL WALMIR COSTA","EE WALMIR ALMEIDA COSTA",1
"SAO JOSE DA BARRA","ESCOLA MUNICIPAL PROF. MARIA PASSOS","EM PROFESSORA MARIA APARECIDA PASSOS",1
"ITINGA","ESCOLA MUNICIPAL FAZENDA SANTA MARIA","EM DA FAZ STA MARIA",1
"ARAGUARI","ESCOLA ESTADUAL JOSE CARNEIRO","EE JOSE CARNEIRO DA CUNHA",1
"ARAGUARI","ESCOLA MUNICIPAL VILAGRAN CABRITA","CENTRO EDUCACIONAL MUNICIPAL TENENTE CORONEL VILAGRAN CABRITA",1
"TAPIRA","ESCOLA MUNICIPAL ALVINA DE RESENDE","EM ALVINA ALVES DE REZENDE",1
"BAMBUI","CENTRO EDUCACIONAL EVOLUCAO","C EDUC EVOLUCAO",1
"SAO GONCALO DO RIO ABAIXO","ESCOLA MUNICIPAL DE SANTA RITA DE PACAS","EM DE PACAS",1
"BELO HORIZONTE","COLEGIO MAGNUM AGOSTINIANO","COL MAGNUM AGOSTINIANO BURITIS",1
"BELO HORIZONTE","ESCOLA ESTADUAL SARAH KUBITSCHEK","EE SARAH KUBITSCHEK SAO GERALDO",1
"BELO HORIZONTE","ESCOLA MUNICIPAL CAIO LIBANO","ESCOLA MUNICIPAL CAIO LIBANO SOARES",1
"BELO HORIZONTE","ESCOLA MUNICIPAL CAIO LIBANO","ESCOLA MUNICIPAL PROFESSOR CLAUDIO BRANDAO",1
"IGARAPE","ESCOLA MUNICIPAL CELUTA RIBEIRO","EM CELUTA RIBEIRO DA SILVA",1
"MARIPA DE MINAS","ESCOLA MUNICIPAL ANTONIO F. MARTINS","EM ANTONIO FERREIRA MARTINS",1
"BOA ESPERANCA","COLEGIO COMENDADOR GERALDO FREIRE","ESCOLA COMENDADOR GERALDO FREIRE DA SILVA",1
"CAPELA NOVA","ESCOLA MUNICIPAL ANTONIO SILVERIO","E M ANTONIO SILVERIO BARBOSA",1
"CARANAIBA","ESCOLA ESTADUAL SALSA","EM DE SALSA",1
"CARANDAI","ESCOLA MUNICIPAL TABULEIRO","EM DO TABOLEIRO",1
"ORIZANIA","ESCOLA ESTADUAL DO INDAIA","EM INDAIA",1
"CARATINGA","ESCOLA ESTADUAL BEZERRA DE MENEZES","EM BEZERRA DE MENEZES DE ENSINO FUNDAMENTAL",1
"CARATINGA","ESCOLA MUNICIPAL DR. MANINHO","EM DR MANINHO UNID I",1
"UMBURATIBA","ESCOLA ESTADUAL APARICIO MURTA","EE APARICIO ALVES MURTA",1
"CARMO DO RIO CLARO","ESCOLA MUNICIPAL SAO JOSE DA FURNA","EM SAO JOSE",1
"BAEPENDI","ESCOLA ESTADUAL SAO PEDRO","PEM SAO PEDRO",1
"CONCEICAO DO RIO VERDE","INSTITUTO SAO JOSE","INST SAO JOSE",1
"CONTAGEM","ESCOLA MUNICIPAL DOMINGOS DINIZ","EM DOMINGOS DINIZ MOREIRA",1
"CONTAGEM","ESCOLA MUNICIPAL OVIDIO GUERRA","EM JOSE OVIDIO GUERRA",1
"CORINTO","GINASIO CRISTO REI","ESCOLA MUNICIPAL CRISTO REI",1
"MARIA DA FE","ESCOLA MUNICIPAL ARLINDO ZARONI","EM ARLINDO ZARONI DE ENSINO FUNDAMENTAL",1
"FELIXLANDIA","ESCOLA MUNICIPAL MAJOR ANTONIO SALVO","EM MAJ SALVO",1
"DIAMANTINA","E. M. PINHEIRO","EM DE PINHEIRO",1
"DIAMANTINA","E. M. BATATAL","EM DE BATATAL",1
"CANAA","ESCOLA MUNICIPAL SAO LUIZ","EM DE SAO LUIZ",1
"ERVALIA","ESCOLA MUNICIPAL SANTO ANTONIO II","EM STO ANTONIO",1
"ESMERALDAS","ESC EST SANTA TEREZA - FUCAM","EE SANTA TEREZA",1
"MONTEZUMA","E. M. FAZENDA CERCADO","EM DE CERCADO",1
"PIMENTA","ESCOLA SANTA RITA","EM STA RITA",1
"BOTUMIRIM","ESCOLA ESTADUAL SANTA MARIA","EE DE SANTA MARIA",1
"GRAO MOGOL","ESCOLA MUNICIPAL JULIO MOREIRA","EM JULIO MOREIRA DIAS",1
"INHAPIM","ESCOLA MUNICIPAL BRAS DA SILVEIRA","EM MANOEL BRAZ DA SILVEIRA",1
"IPATINGA","ESCOLA MUNICIPAL VILMA DE FARIA","EM VILMA DE FARIA SILVA",1
"ITAMARANDIBA","ESCOLA MUNICIPAL SAO GIL II","EM SAO GIL",1
"ITAUNA","ESCOLA ESTADUAL VICTOR GONCALVES","EE VICTOR GONCALVES DE SOUZA",1
"ITAUNA","ESCOLA MUNICIPAL DONA COTA - CAIC","EM DONA COTA",1
"ITUIUTABA","APICE CENTRO EDUCACIONAL LTDA","APICE CENTRO EDUCACIONAL",1
"ITUIUTABA","CIME SARAH FERES","CIME SARAH FERES SILVEIRA",1
"JACINTO","ESCOLA ESTADUAL DE AVAI","EE DO HAVAI",1
"BONITO DE MINAS","ESCOLA MUNICIPAL DE SAO DOMINGOS","EM SAO DOMINGOS I",1
"BONITO DE MINAS","ESCOLA MUNICIPAL DE FEIA","EM DO FEIO",1
"BONITO DE MINAS","ESCOLA ESTADUAL DE BONFIM / POCOS","EE DE BONFIM",1
"CONEGO MARINHO","ESCOLA MUNICIPAL DE POCAO","EM POCAO",1
"CONEGO MARINHO","ESCOLA MUNICIPAL DE SANTO ANTONIO","PEM DA FAZ SANTO ANTONIO",1
"JANUARIA","ESCOLA MUNICIPAL SANTA RITA - ANEXO","EM SANTA RITA",1
"JANUARIA","ESCOLA MUNICIPAL SANTA RITA - SEDE","EM SANTA RITA",1
"BRASILANDIA DE MINAS","ESCOLA ESTADUAL ALMINDA ALVES","EE ALMINDA ALVES DA SILVA",1
"JOAO PINHEIRO","ESCOLA ESTADUAL TEOTONIO VILELA","EE TEOTONIO BRANDAO VILELA",1
"JUIZ DE FORA","COLEGIO JESUITAS","COLEGIO DOS JESUITAS",1
"JUIZ DE FORA","ESCOLA MUNICIPAL ROCHA POMBO - CAIC","PES ROCHA POMBO",1
"ARGIRITA","CLUBE ARGIRITA","ESC DE ARGIRITA",1
"MANGA","ESCOLA MUNICIPAL JOAQUINA I","EM JOAQUINA UNIDADE I",1
"MIRAVANIA","ESCOLA ESTADUAL CRISTO REI","EE DA FAZENDA CRISTO REI",1
"MANHUACU","COLEGIO TIRADENTES","COLEGIO TIRADENTES PMMG",1
"MANHUMIRIM","ESCOLA MUNICIPAL BONFIM  I","EM DO BONFIM",1
"MANHUMIRIM","COLEGIO EVEC DE MANHUMIRIM","COLEGIO PIO XI DE MANHUMIRIM",1
"MANTENA","ESCOLA MUNICIPAL FREI INOCENCIO","EM FREI INOCENCIO DE ENSINO FUNDAMENTAL",1
"CHIADOR","ESCOLA MUNICIPAL SANTA TEREZA","EM STA TERESA",1
"CHIADOR","ESCOLA MUNICIPAL CHIADOR ESTACAO","EM CHIADOR ESTACAO 1 GRAU",1
"SANTANA DO DESERTO","ESCOLA MUNICIPAL JULIA DE LIMA","ESCOLA MUNICIPAL JULIA DE LIMA DE ENSINO FUNDAMENTAL",1
"GLAUCILANDIA","ESCOLA ESTADUAL DOUTOR JOAO F PIMENTA","EE DOUTOR JOAO FERREIRA PIMENTA",1
"MONTES CLAROS","COLEGIO IMACULADA CONCEICAO","COL BERLAAR IMACULADA CONCEICAO",1
"MONTES CLAROS","CENTRO EDUCACIONAL COTEMINAS","C EDUC COTEMINAS",1
"MONTES CLAROS","COLEGIO TIRADENTES","COLEGIO TIRADENTES PMMG",1
"PATIS","GRUPO ESCOLAR JUVENTIL PEREIRA","EM JUVENTIL PEREIRA DA SILVA",1
"MURIAE","ESCOLA MUNICIPAL SILAS URURAI MACEDO","EM SYLLA DE URURAHY MACEDO",1
"NOVA LIMA","ESCOLA MUNICIPAL DULCE JONES","EM DULCE SANTOS JONES",1
"NOVA LIMA","ARACE","ARACE ESCOLA",1
"CARAI","ESCOLA MUNICIPAL XV DE NOVEMBRO","EM QUINZE DE NOVEMBRO",1
"CATUJI","ESCOLA ESTADUAL GEORGINA F. BATISTA","EE GEORGINA FERREIRA BATISTA",1
"OLIVEIRA","ESCOLA MUNICIPAL DO JACARE","EE MATINHA DO JACARE",1
"OURO PRETO","ESCOLA MUNICIPAL DE EDUCACAO INFANTIL SUELY","PEM SUELY",1
"LARANJAL","ESCOLA MUNICIPAL SAO JOAO DA SAPUCAIA","EM DA VILA SAO JOAO SAPUCAIA",1
"CARMOPOLIS DE MINAS","ESCOLA ESTADUAL LIGIA BEATRIZ","EE LIGIA BEATRIZ AMARAL",1
"PASSOS","COLEGIO TIRADENTES","COLEGIO TIRADENTES PMMG",1
"SAO JOSE DO JACURI","ESCOLA MUNICIPAL DE FONSECA I","EM FONSECA",1
"PIRANGA","ESCOLA ESTADUAL ANIBAL FELIX","EM ANIBAL FELIX DA SILVA",1
"PIRANGA","ESCOLA ESTADUAL DE SANTO ANTONIO","EM SANTO ANTONIO",1
"BURITIZEIRO","ESCOLA ESTADUAL MARIETA AMORIM","EE PROFESSORA MARIETA AMORIM VIEIRA",1
"PIRAPORA","ESCOLA MUN. MARIA JOSEFINA","EM MARIA JOSEFINA SANTOS",1
"PONTE NOVA","ESC. EST. GOV. BIAS FORTES","EE GOVERNADOR BIAS FORTES",1
"PONTE NOVA","ESC. MUN. N. SRA. DO ROSARIO","ESCOLA MUNICIPAL NOSSA SENHORA DO ROSARIO",1
"PONTE NOVA","ESC. MUN. N. SRA. DE FATIMA","EM NOSSA SENHORA DE FATIMA",1
"LAGOA DOURADA","ESCOLA MUNICIPAL MARIA JOSE DE MELO","ESCOLA MUNICIPAL MARIA JOSE DE MELO - DONA ZIZINHA",1
"RESENDE COSTA","ESCOLA MUNICIPAL PROFESSORA ROSA PENIDO","EM PROFA ROSA",1
"RIO PARDO DE MINAS","ESCOLA MUNICIPAL TRACADAL 2","ESCOLA MUNICIPAL DE TRACADAL",1
"RIO PARDO DE MINAS","E E DA FAZENDA SANTANA 2","EM DE SANTANA",1
"RIO PARDO DE MINAS","ESCOLA MUNICIPAL DA FAZENDA TINGUI","EM DE TINGUI",1
"TABULEIRO","GINASIO JOAO XXIII","EM JOAO XXIII",1
"BOM JARDIM DE MINAS","ESCOLA MUNICIPAL SAO SEBASTIAO - TABOAO","EM SAO SEBASTIAO",1
"SAO SEBASTIAO DA BELA VISTA","ESCOLA MUNICIPAL LAZARO BONIFACIO","EM LAZARO BONIFACIO PEREIRA",1
"SANTOS DUMONT","C.M. SAO JOSE","COL MUN SAO JOSE",1
"SAO FRANCISCO","ESCOLA MUNICIPAL SANTA MARTA - PAPAMEL","EM SANTA MARTA",1
"RIO PARANAIBA","CRECHE RIO PARANAIBA","CRECHE MUN DE RIO PARANAIBA",1
"TIROS","CRECHE CASA DE NAZARE","CENTRO EDUCACIONAL MUN CASA DE NAZARE",1
"SAO JOAO DA PONTE","ESCOLA MUNICIPAL ANGELO NUNES","EM ANGELO NUNES DA COSTA",1
"SAO JOAO DA PONTE","ESCOLA MUNICIPAL MARIA FERREIRA","EM MARIA FERREIRA DA CRUZ",1
"SAO JOAO NEPOMUCENO","ESCOLA MUNICIPAL TRES MARIAS (CAIC)","EM TRES MARIAS",1
"SETE LAGOAS","ESCOLA MUNICIPAL PROFESSOR GALVAO (CAIC)","EM PROFESSOR GALVAO",1
"INDAIABIRA","ESCOLA MUNICIPAL TEU","EM DE TEU",1
"TEIXEIRAS","CENTRO EDUCACIONAL RAINHA DA PAZ","C EDUC RAINHA DA PAZ",1
"LADAINHA","ESCOLA ESTADUAL N SRA DO ROSARIO","EE NOSSA SENHORA DO ROSARIO",1
"GUIDOVAL","ESCOLA MUNICIPAL BARBOSA NETO","EM ANTONIO BARBOSA NETO",1
"UBERLANDIA","ESCOLA COLIBRI","C EDUC COLIBRI",1
"UNAI","ESCOLA ESTADUAL DELVITO ALVES","EE DELVITO ALVES DA SILVA",1
"VISCONDE DO RIO BRANCO","ESCOLA MUNICIPAL DEPUTADO LUIZ S. ROCHA","EM DEP LUIZ SOARES DA ROCHA",1
"PINTOPOLIS","ESCOLA ESTADUAL PRIMAVERA - SAO JOAO","EE PRIMAVERA",1
"PINTOPOLIS","ESCOLA MUNICIPAL SAO JORGE - JATOBA","EM SAO JORGE",1
"IBIRITE","ESCOLA DO ALVORADA","ESCOLA MUNICIPAL DO BAIRRO ALVORADA",1
"IBIRITE","ESCOLA MUNICIPAL DO AGUIA DOURADA","EM DO BAIRRO AGUIA DOURADA",1
"CANDEIAS","PSF - TENDAIS","EM DOS TENDAIS",1
"CONTAGEM","COLEGIO CEC - CENTRO EDUCACIONAL DA CRIANCA","CENTRO EDUCACIONAL DA CRIANCA",1
"UBERLANDIA","ESEBA-ESCOLA DE EDUCACAO BASICA - UFU","ESCOLA DE EDUCACAO BASICA DA UFU",1
"CHAPADA GAUCHA","ESCOLA ESTADUAL SANTA CATARINA","EE DA FAZENDA SANTA CATARINA",1
"CHAPADA GAUCHA","ESCOLA MUNICIPAL GUIMARAES ROSA","EM JOAO GUIMARAES ROSA",1
"FORTUNA DE MINAS","ESCOLA MUNICIPAL BRANCA DE NEVE","CENTRO DE EDUCACAO INFANTIL MUN BRANCA DE NEVE",1
"PATOS DE MINAS","COLEGIO TIRADENTES","COLEGIO TIRADENTES PMMG",1
"BELO HORIZONTE","ESCOLA MUNICIPAL OSVALDO CRUZ -EMOC","ESCOLA MUNICIPAL OSWALDO CRUZ",1
"LEME DO PRADO","GOUVEIA -- ESCOLA ESTADUAL DE GOUVEIA","EE DE GOUVEIA",1
"TURMALINA","ESCOLA MUNICIPAL JOSEFINA PROCOPIO","ESCOLA MUNICPAL JOSEFINA PROCOPIO",1
"VEREDINHA","MACAUBAS - E. M. JOAO XXIII","EM JOAO XXIII",1
"MONTALVANIA","ESCOLA ESTADUAL GALILEU","EE GALILEU GALILEI",1
"LUMINARIAS","GINASIO PROFESSOR FABREGAS","EE PROFESSOR FABREGAS",1
"CALDAS","E. M. SANTA TEREZINHA","EM STA TEREZINHA II",1
"IPATINGA","COLEGIO SAO FRANCISCO XAVIER","COLEGIO SAO FRANCISCO XAVIER - CARIRU",1
"IPATINGA","COLEGIO TIRADENTES","COLEGIO TIRADENTES PMMG",1
"IBIRITE","ESCOLA MUNICIPAL SOL NASCENTE","PRE ESC DA CRECHE SOL NASCENTE",1
"AMAMBAI","EM ANTONIO PINTO","EM ANTONIO PINTO DA SILVA",1
"CASSILANDIA","ESCOLA MUNICIPAL INDAIA DO SUL","EM INDAIA DO SUL - POLO",1
"NOVA ANDRADINA","EM - PINGO DE GENTE","EM PINGO DE GENTE - POLO",1
"ANAURILANDIA","ESCOLA MUNICIPAL PAULO NEY","ESCOLA MUNICIPAL DO ENSINO FUNDAMENTAL PROFESSOR PAULO NEY",1
"AQUIDAUANA","E. M. INDIGENA FELICIANO PIO","ESCOLA MUNICIPAL INDIGENA POLO FELICIANO PIO",1
"COXIM","ESCOLA MUNICIPAL MARECHAL RONDON","EM MAL RONDON - POLO",1
"BODOQUENA","CENTRO DE EDUCACAO INFANTIL DE BODOQUENA - CEIB","CEI - BODOQUENA",1
"MIRANDA","EM INDIGENA FELIPE ANTONIO","ESCOLA MUNICIPAL INDIGENA POLO FELIPE ANTONIO",1
"MIRANDA","EM INDIGENA PILAD REBUA","EM INDIGENA POLO PILAD REBUA",1
"BELA VISTA","E.M. PEDRO AJALA","ESCOLA MUNICIPAL PEDRO AJALA- POLO",1
"BELA VISTA","E.M. SAO CLEMENTE","EM SAO CLEMENTE - POLO",1
"RIO VERDE DE MATO GROSSO","E.M. JOSE DUAILIBI","EM POLO JOSE DUAILIBI",1
"CAARAPO","EMPG NHANDEJARA","EM INDIGENA NANDEJARA-POLO",1
"SIDROLANDIA","EM DARCI RIBEIRO","EM DARCY RIBEIRO-POLO",1
"JAPORA","EEPPSG DE JAPORA","EE JAPORA",1
"CAMPO GRANDE","ESCOLA AMARELINHA - EDUCACAO INFANTIL","ESCOLA AMARELINHA - COLEGIO YELLOW",1
"DOURADOS","EE GETULIO VARGAS","EE PRES VARGAS",1
"CORUMBA","EM CARLOS CARCANO","EMR POLO CARLOS CARCANO",1
"CAMPO GRANDE","CENTRO DE ENSINO PARADIGMA","EEIEF PARADIGMA",1
"ACORIZAL","ESCOLA DO CAMPO LIMPO","EMPG DE CAMPO LIMPO",1
"CUIABA","ESCOLA ESTADUAL LICEU CUIABANO","EE PROF ULISSES CUIABANO",1
"ROSARIO OESTE","E.M. PROFESSOR JOAO BATISTA","EMEF PROF JOAO BATISTA DA SILVA",1
"POCONE","E.M. JOAO GODOFREDO","E M JOAO GODOFREDO DA SILVA",1
"NOVA MUTUM","E.P.E.F.CECILIA MEIRELES","CMEBI CECILIA MEIRELES",1
"NOVA MUTUM","ESCOLA MUNICIPAL 4 DE JULHO","E M 04 DE JULHO - E F",1
"CACERES","ESCOLA MUNICIPAL GUANABARA","EM JARDIM GUANABARA",1
"RONDONOPOLIS","ESCOLA MUNICIPAL RURAL CARIMA","EMEF RURAL FAZENDA CARIMA",1
"SAO FELIX DO ARAGUAIA","ESCOLA RURAL MUNICIPAL DE PRIMEIRO GRAU VILA SAO SEBASTIAO","EMEB SAO SEBASTIAO",1
"VILA RICA","CDCE - ESCOLA ESTADUAL VILA RICA","EE VILA RICA",1
"SANTO AFONSO","ESCOLA MUNICIPAL SEBASTIAO TAVARES","EMPG SEBASTIAO TAVARES DA SILVA",1
"MIRASSOL D'OESTE","E.E.P.S.G. PADRE ANCHIETA","EE PADRE JOSE ANCHIETA",1
"TANGARA DA SERRA","ESCOLA ESTADUAL TREZE DE MAIO","EE 13 DE MAIO",1
"TANGARA DA SERRA","ESCOLA ESTADUAL PETRONIO PORTELA","EE MIN PETRONIO PORTELLA NUNES",1
"VARZEA GRANDE","ESCOLA MUNICIPAL DAVY MAYER","EMEB DAVID MAYER",1
"NOVA CANAA DO NORTE","ESCOLA MUNICIPAL OURO BRANCO","ESCOLA MUNICIPAL RURAL OURO BRANCO",1
"PONTES E LACERDA","ESCOLA ESTADUAL 06 DE AGOSTO","CEJA 6 DE AGOSTO",1
"VILA BELA DA SANTISSIMA TRINDADE","CRECHE AVIAOZINHO","CENTRO DE EDUCACAO INFANTIL AVIAOZINHO",1
"CAMPINAPOLIS","ESCOLA INDIGENA ALDEIA ESTRELA","EE INDIGENA ESTRELA",1
"JUARA","CENTRO DE ENSINO MODERNO-CEM","CEM CENTRO DE ENSINO MODERNO",1
"CONFRESA","ESCOLA MUNICIPAL TAPIRAGUAIA","ESCOLA MUNICIPAL DE PRIMEIRO GRAU VILA TAPIRAGUAIA",1
"MARCELANDIA","ESCOLA MUNICIPAL CURUMIN","EMR CURUMIM",1
"PEIXOTO DE AZEVEDO","ESCOLA ESTADUAL GARCIA GARRIDO","EE GARCIA GARRIDO FERMINO",1
"PEIXOTO DE AZEVEDO","ESCOLA INDIGENA METUKTIRE","EE INDIGENA DE EDUCACAO BASICA METUKTIRE",1
"TERRA NOVA DO NORTE","ESCOLA  ESTADUAL XII DE ABRIL","EE 12 ABRIL",1
"CHAPADA DOS GUIMARAES","ESCOLA MUNICIPAL RURAL J.J.","ESCOLA MUNICIPAL JJ",1
"SANTO ANTONIO DO LEVERGER","ESCOLA MUNICIPAL DA FAZENDA MIMOSO","EMPG DE MIMOSO",1
"SANTO ANTONIO DO LEVERGER","ESCOLA MUNICIPAL DO OLHO D'AGUA","EMPG OLHO D AGUA",1
"SANTO ANTONIO DO LEVERGER","ESCOLA MUNICIPAL DE BOAVENTURA","EMPG BOA VENTURA",1
"NOVA UBIRATA","ESCOLA MUNICIPAL TREZE DE MAIO","ESCOLA MUNICIPAL 13 DE MAIO",1
"PEDRA PRETA","ESCOLA MUNICIPAL RUI BARBOSA II","EMEF RUI BARBOSA",1
"RONDONOPOLIS","ESCOLA PRINCESA IZABEL","EMEF PRINCESA ISABEL",1
"COTRIGUACU","ESCOLA ESTADUAL ANDRE MAGGI","EE ANDRE ANTONIO MAGGI",1
"JURUENA","ESCOLA MUNICIPAL QUATRO DE JULHO","EM 04 DE JULHO",1
"CUIABA","ESCOLA MUNICIPAL OITO DE ABRIL","EMEB 8 DE ABRIL",1
"BELEM","COLEGIO IDEAL","CENTRO DE ENSINO TECNICO IDEAL",1
"CACHOEIRA DO ARARI","EEEF PROFESSOR DELGADO LEAO","EEEFM DELGADO LEAO SEDE",1
"SOURE","EMEF ALACID NUNES","E M E I F ALACID DA SILVA NUNES",1
"INHANGAPI","EMEF JUNDIAI","E M EI F DE JUNDIAI",1
"INHANGAPI","EMEF PITIMANDEUA","E M E F DE PETIMANDEUA",1
"IGARAPE-ACU","EEEF CURI","EEEF DO CURI",1
"IGARAPE-ACU","EM JOSE VIANA","E M E F JOSE VIANA DA SILVA",1
"MAGALHAES BARATA","EM SAO MARCOS","E M E I F SAO MARCOS",1
"SAO FRANCISCO DO PARA","EMEF SANTA BRIGIDA","E M E F MIGUEL SANTA BRIGIDA",1
"SAO FRANCISCO DO PARA","EMEF EDWARD JAMES","E M E I F PE EDWARD JAMES HASKER",1
"IGARAPE-MIRI","EM SANTA MARIA","E M E F SANTA MARIA CAJI",1
"CONDE","ESCOLA ESTADUAL PEDRO GONDIM","EMEF GOV PEDRO GONDIM",1
"SANTA RITA","ESCOLA MUNICIPAL DE ENS. FUND. JAIME LACET","EMEIF E EJA JAIME LACET",1
"SAPE","UNIDADE ESCOLAR DA CIDADE CRISTA","EMEIEF CIDADE CRISTA",1
"MATARACA","ESCOLA ESTADUAL PEDRO POTY","EEEFM PEDRO POTI",1
"INGA","GRUPO ESCOLAR FREI HERCULANO","EMEIEFM FREI HERCULANO",1
"ALAGOA GRANDE","GRUPO ESCOLAR ANA ELIZA SOBREIRA","EMEIF ANNA ELISA SOBREIRA",1
"GUARABIRA","COLEGIO ESTADUAL PEDRO BANDEIRA","EEEF DES PEDRO BANDEIRA",1
"AREIA","COLEGIO DE 1 GRAU PROFESSOR ABEL BARBOSA","EMEF PROFESSOR ABEL BARBOSA DA SILVA",1
"LAGOA SECA","GRUPO ESCOLAR FREI MANFREDO","EMEIEF FREI MANFREDO",1
"LAGOA SECA","GRUPO ESCOLAR JOSE GOMES","ESCOLA MUNICIPAL DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL JOSE GOMES",1
"LAGOA SECA","GRUPO ESCOLAR ZEZITO RIBEIRO","EMEIEF ZEZITO RIBEIRO",1
"CAMPINA GRANDE","GRUPO ESCOLAR ANIZIO TEIXEIRA","EMEF ANISIO TEIXEIRA",1
"TAPEROA","ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL FELIX DALTRO","EEEF E EJA FELIX DALTRO",1
"CAMALAU","GRUPO ESCOLAR SEVERINO LUCAS","GR ESC SEVERINO LUCAS DA SILVA",1
"ITAPORANGA","COLEGIO PADRE DINIZ","EEEF PE DINIZ",1
"MANAIRA","E. E. SEBASTIAO DINO","EMEF SEBASTIANA DINO",1
"CATOLE DO ROCHA","GRUPO ESCOLAR JOAO SUASSUNA","EEEIEF JOAO SUASSUNA",1
"SAO JOSE DE PIRANHAS","E.E.E.I.F. SANTO ANTONIO","EEEF BAIRRO SANTO ANTONIO",1
"AMPARO","GRUPO ESCOLAR DE AMPARO","EEEF DE AMPARO",1
"PIRPIRITUBA","GRUPO ESCOLAR MUNICIPAL PADRE JOSE COUTINHO","EMEF MONS JOSE COUTINHO",1
"PUXINANA","GINASIO PLINIO LEMOS","ECI PLINIO LEMOS",1
"PUXINANA","GRUPO ESCOLAR COSTA E SILVA","GR ESC PRES COSTA E SILVA",1
"RIO TINTO","ESCOLA MUNICIPAL ENS FUND JOAO XXIII","ESC MUL DE 1G JOAO XXIII",1
"JUAZEIRINHO","GRUPO ESCOLAR FREI DAMIAO","ESC MUL ENS FUND FREI DAMIAO",1
"ITAPOROROCA","ESC. EST. DE ENS. FUND. ISAURA FERNANDES","EEEF ISAURA FERNANDES DE SOUZA",1
"JOAO PESSOA","CREI ADALGISA VIEIRA","CREI CASULO ADALGISA VIEIRA",1
"SANTA TERESINHA","ESCOLA MUNIC. SANTA TEREZINHA","EMEF COLEGIO SANTA TEREZINHA",1
"JOAO PESSOA","ESCOLA ESTADUAL DE 1 GRAU PROF JACY COSTA","EEEFM PROFESSORA MARIA JACY COSTA",1
"CAMPINA GRANDE","GRUPO ESCOLAR PROFESSOR LUIZ GIL","EMEF PROF LUIS GIL",1
"CAAPORA","GRUPO ESCOLAR EMILIA VALENCA","ESCOLA MUN MARIA EMILIA VALENCA",1
"PITIMBU","ESC. MUN. DE ENS. FUND. LEONOR FREIRE","EMEF LEONOR FREIRE TAVARES",1
"JOAO PESSOA","COLEGIO PIO XI - BESSA","COLEGIO PIO XI",1
"RECIFE","ESCOLA PROFESSOR JOSE VICENTE","ESCOLA PROFESSOR JOSE VICENTE BARBOSA",1
"RECIFE","COLEGIO ROCHAEL DE MEDEIROS","ESCOLA CONEGO ROCHAEL DE MEDEIROS",1
"RECIFE","ESCOLA DOM CARLOS COELHO","ESCOLA DOM CARLOS COELHO - RECIFE",1
"RECIFE","ESCOLA MUNICIPAL HELIA PEREIRA","ESCOLA MUNICIPAL PROFESSORA HELIA MARIA PEREIRA",1
"RECIFE","ESCOLA ESTADUAL PROFESSOR CANDIDO DUARTE","EDUCANDARIO DUARTE",1
"RECIFE","ESCOLA MUNICIPAL ABEL GUEIROS","ESCOLA MUNICIPAL DIACONO ABEL GUEIROS",1
"RECIFE","ESCOLA POLITECNICA","ESCOLA POLITEC I E II",1
"RECIFE","COLEGIO VERA CRUZ","COLEGIO VERA CRUZ RECIFE",1
"RECIFE","COLEGIO ANGLO LIDER","COLEGIO ANGLO LIDER JUNIOR",1
"JABOATAO DOS GUARARAPES","ESCOLA LUIZ GONZAGA","ESCOLA MUNICIPAL LUIZ LUA GONZAGA",1
